Algorithm: Kruskal's MST
MST edges:
415 6925 1
5721 8546 1
4705 5701 1
784 3381 1
6240 8256 1
3907 8193 1
6647 8631 1
1334 3764 1
7028 9673 1
5175 9580 1
1613 7625 1
6780 7716 1
626 688 1
7642 8295 1
2729 4974 1
582 8665 1
2702 4439 1
2407 4588 1
2276 4012 1
915 4967 1
1047 2915 1
2609 2941 1
1683 6055 1
288 4623 1
4430 9316 1
2664 9094 1
2016 4143 1
4444 4988 1
9403 9428 1
2232 6374 1
1380 8841 1
9369 9616 1
412 2470 1
1726 5391 1
3192 4227 2
3755 9105 2
658 7901 2
6253 7421 2
1312 6643 2
6827 7232 2
7471 8318 2
3894 9101 2
935 8673 2
1961 3719 2
4499 8416 2
206 476 2
5515 6785 2
4178 5393 2
7914 8852 2
581 4079 2
4354 8691 2
3798 9939 2
2551 8336 2
2223 7182 2
64 9562 2
643 2746 3
5309 5673 3
4462 8384 3
3828 7128 3
4948 7443 3
4083 5861 3
5285 7936 3
3936 7753 3
261 3997 3
3270 5987 3
490 6242 3
3912 6466 3
847 8041 3
920 5028 3
220 9926 3
1698 2060 3
2944 6369 3
6335 7126 3
1347 4218 3
2162 2653 3
2964 8763 3
8949 9075 3
4755 5051 3
1838 2577 3
1317 4114 3
3000 7611 3
643 6798 3
3708 9462 4
1608 2544 4
4845 5319 4
927 1191 4
1965 9525 4
3067 6163 4
911 2914 4
674 8117 4
1143 5562 4
4157 9168 4
7726 8752 4
4717 5682 4
3650 9210 4
217 9597 4
573 7791 4
3656 5667 4
3518 3896 4
2849 8847 4
8973 9086 4
1674 6423 4
5266 8127 4
2379 6703 4
2963 3000 4
4048 9418 4
1039 5534 4
936 2170 4
1904 6113 4
1238 8122 4
5705 9548 4
4309 5507 4
5804 6563 5
1489 7727 5
333 6058 5
3034 7547 5
1023 7713 5
857 4765 5
4529 5884 5
2162 5071 5
1025 8628 5
5677 8840 5
170 9351 5
4903 6324 5
196 4196 5
5946 7215 5
2695 4676 5
9115 9823 5
8048 9990 5
1222 6030 5
7197 8672 5
7424 8458 5
4613 5505 5
1783 8306 5
661 7998 5
88 517 5
9242 9890 5
3352 9655 5
2464 6621 5
2822 2831 5
7613 8487 5
5557 7560 5
6657 9396 5
490 2889 5
9445 9618 5
5156 8885 5
3312 6369 5
2364 2822 5
322 7423 6
5595 6528 6
1745 4680 6
19 1217 6
1123 2887 6
741 7500 6
31 8124 6
2583 7529 6
4006 9054 6
942 9940 6
284 8179 6
135 3442 6
635 5393 6
4644 9297 6
931 2085 6
6761 8643 6
3322 6242 6
3938 4929 6
6568 9763 6
6030 9594 6
5898 9188 6
1963 8640 6
5361 7145 6
1 4950 6
6443 6622 6
6979 9097 6
2885 4855 6
6463 6677 6
4866 5723 6
2217 8433 6
2739 8805 6
2230 3861 6
2727 3212 6
7753 9146 7
1802 5437 7
1901 7450 7
2968 7119 7
1032 1610 7
4654 8836 7
5630 7721 7
557 609 7
4418 9833 7
7341 8958 7
1483 9374 7
1286 3734 7
866 7757 7
182 8966 7
180 1323 7
2127 7360 7
7317 7820 7
391 438 7
4327 8526 7
5111 7859 7
3052 9249 7
6994 7087 8
94 6773 8
1498 2621 8
339 2248 8
3201 4776 8
8649 8987 8
5340 7659 8
3302 5285 8
834 8569 8
7300 8561 8
4005 7326 8
170 1760 8
1670 3459 8
5135 8275 8
1260 4796 8
3970 4508 8
3768 4362 8
4922 5984 8
394 7250 8
1477 9531 8
5961 6773 8
723 7404 8
6327 8289 8
2097 8501 8
464 6015 8
1616 6255 8
3360 8853 8
433 2535 8
4774 8533 8
6351 8828 8
2206 9189 8
3090 6225 8
5 9728 8
4210 6015 8
4435 5392 8
370 724 8
487 905 8
3048 9797 8
2290 4094 8
6355 6983 8
3033 7407 8
5911 9513 8
1657 5968 9
2090 4745 9
4377 6037 9
5388 9946 9
2927 7302 9
453 4783 9
7582 8839 9
5000 9897 9
1764 5963 9
4562 8970 9
1221 6950 9
196 843 9
4150 8125 9
1417 8203 9
322 9324 9
902 8660 9
803 9441 9
830 938 9
5230 8870 9
4206 9622 9
5733 6624 9
4871 9312 9
1050 5668 9
1513 1902 9
820 9766 9
59 1363 9
4245 7055 9
6056 9038 9
643 9547 9
3086 7013 9
11 470 9
5238 9266 10
4115 9009 10
517 6587 10
5565 6347 10
2265 6800 10
6954 8394 10
2966 3956 10
316 9796 10
2263 9660 10
961 9804 10
674 1860 10
2290 6660 10
861 4335 10
7472 8979 10
2380 3701 10
2066 8634 10
694 2971 10
5901 8070 10
1720 6002 10
7634 8001 10
606 1119 10
29 6545 10
6011 9606 10
1135 3823 10
1922 7866 10
1833 9949 10
3372 6976 10
1976 3881 10
1783 8269 10
7876 8040 10
4655 6722 10
1295 1327 10
6775 8413 11
451 5038 11
3652 8608 11
660 5054 11
6423 8461 11
7578 8337 11
2514 5721 11
3455 3770 11
762 1685 11
4913 5422 11
4085 6533 11
1290 1322 11
2031 6988 11
4188 9941 11
5780 6375 11
4830 8485 11
1267 9295 11
333 1171 11
4700 5190 11
2384 5306 11
2572 8441 11
844 3983 11
1858 9883 11
5054 8640 11
140 8826 11
2597 3745 11
5582 6197 11
690 1000 11
7476 9253 11
3134 6833 11
5251 6611 11
4318 8145 11
3470 4590 12
1375 8964 12
2273 7354 12
3788 5108 12
2686 4357 12
2187 5199 12
523 8132 12
1422 8113 12
1721 9275 12
3366 8064 12
4832 9802 12
5284 9611 12
6314 9815 12
388 2100 12
3836 5360 12
3854 7541 12
1302 9756 12
4275 7260 12
3881 9545 12
3307 5522 12
4933 7591 12
1117 8367 12
5452 7951 12
4029 8352 12
8622 9587 12
2774 6192 12
5712 7213 12
4409 6167 12
398 9176 12
637 1394 13
424 2890 13
6584 6832 13
