Algorithm: Kruskal's MST
MST edges:
29301 79135 1
58445 77892 1
9147 50681 1
2094 51445 1
15504 64815 1
79242 81947 1
84312 93466 1
6286 39166 1
13049 14605 1
84318 90211 1
52220 74819 1
47271 78482 1
1686 37805 1
49026 67990 1
40516 96035 1
39424 52519 1
5032 53995 1
84472 94329 1
16893 70697 1
47361 48156 1
15494 30089 1
14302 27111 1
1657 49429 1
5009 39004 1
39478 70243 1
47382 82990 1
45626 89179 1
69973 97748 1
7969 37127 1
706 25292 1
56032 56296 1
82709 93407 1
10412 14556 1
93415 95013 1
34807 47644 1
42579 82711 1
84134 99499 1
93353 98847 1
30921 35437 1
15867 49805 1
69715 95338 1
52145 94560 1
52150 74301 1
29389 65028 1
19467 29170 1
41632 65200 1
5058 51905 1
57666 66505 1
26768 81061 1
39358 47564 1
33044 75864 1
46525 48845 1
82655 99346 1
31900 65554 1
33099 64768 1
8878 22964 1
635 80933 1
32495 34837 1
1234 30518 1
40349 78617 1
43249 57376 1
23544 39388 1
34884 35895 1
11666 58218 1
73331 95463 1
23496 82492 1
34876 47649 1
4568 82401 1
11221 89231 1
14851 32463 1
16102 69866 1
3588 89734 1
10073 54762 1
6551 33106 1
18172 46772 1
6914 44194 1
42243 74231 1
38357 80370 1
20031 41579 1
69600 98981 1
2116 42048 1
28065 50983 1
40449 80607 1
41718 53396 1
11731 75186 1
1622 83499 1
29145 74533 1
16811 97613 1
57791 66240 1
43521 81406 1
39566 65317 1
34177 96733 1
56050 87074 1
6430 51281 1
47462 96196 1
29090 70760 1
19817 95300 1
42365 91144 1
6451 66693 1
50570 88775 1
14401 76110 1
41760 76014 1
35547 95923 1
1566 63091 1
51075 78127 1
41328 48694 1
25373 84587 1
29889 37333 1
11973 72335 1
18919 99449 1
13828 27450 1
30163 87900 1
34582 38993 1
38935 87587 1
2671 70311 1
24320 58697 1
767 34788 1
70587 88078 1
42919 99498 1
53865 98655 1
53864 66634 1
7814 10098 1
22384 83325 1
67909 81738 1
42816 83348 1
66963 71236 1
14018 25335 1
25479 52926 1
72001 92555 1
3893 94985 1
44077 58674 1
15623 70591 1
70899 95228 1
54561 69770 1
51449 55748 1
38785 93152 1
51427 60618 1
1967 46366 1
83149 90480 1
15615 47052 1
34654 51265 1
37866 72265 1
18786 46833 1
5841 20320 1
80075 93335 1
5335 69738 1
75994 84906 1
5841 36656 1
25338 64467 1
13911 96929 1
25346 59982 1
57160 83958 1
3955 99811 1
17429 72134 1
2617 59531 1
24381 80829 1
66932 85858 1
